Technology,Cost,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Solar PV,Mid,18.76,16.08,15.85184692,15.24618316,14.64051939,14.03485563,13.42919187,12.8235281,12.21786434,11.61220057,11.00653681,10.40087304,9.795209279,9.708197874,9.621186468,9.534175063,9.447163657,9.360152252,9.273140846,9.18612944,9.099118035,9.012106629,8.925095224,8.838083818,8.751072413,8.664061007,8.577049602,8.490038196,8.403026791,8.316015385,8.22900398,8.141992574,8.054981169
Wind,Mid,43.20538462,42.85076923,42.49615385,42.14153846,41.78692308,41.43230769,41.07769231,40.72307692,40.36846154,40.01384615,39.65923077,39.30461538,38.95,38.657875,38.36575,38.073625,37.7815,37.489375,37.19725,36.905125,36.613,36.320875,36.02875,35.736625,35.4445,35.152375,34.86025,34.568125,34.276,33.983875,33.69175,33.399625,33.1075
Natural Gas CC-CCS,Mid,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
Li-ion battery,High,40.8347834,38.6,37.58855615,36.5771123,35.56566845,34.5542246,33.54278075,32.5313369,31.77172193,31.01210695,30.25249198,29.49287701,28.73326203,28.37409626,28.01493048,27.65576471,27.29659893,26.93743316,26.57826738,26.2191016,25.85993583,25.50077005,25.14160428,24.7824385,24.42327273,24.06410695,23.70494118,23.3457754,22.98660963,22.62744385,22.26827807,21.9091123,21.54994652
Electrolysis,High,76.875,75.47895291,74.08290582,72.68685873,71.29081165,69.89476455,68.49871747,67.10267038,65.70662329,64.3105762,62.91452911,61.51848202,60.12243493,59.67417147,59.22590801,58.77764455,58.32938109,57.88111762,57.43285416,56.9845907,56.53632724,56.08806378,55.63980032,55.19153685,54.74327339,54.29500993,53.84674647,53.39848301,52.95021955,52.50195608,52.05369262,51.60542916,51.1571657
Coal,High,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194,11.39489194
Natural Gas CC,High,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134,39.69548134
Nuclear,High,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776,12.86345776
Natural Gas CT,High,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122,118.9882122
Solar PV,High,18.76,16.08,16.26385748,16.07020428,15.87655108,15.68289787,15.48924467,15.29559147,15.10193826,14.90828506,14.71463186,14.52097865,14.32732545,14.10071964,13.87411383,13.64750802,13.42090222,13.19429641,12.9676906,12.74108479,12.51447898,12.28787317,12.06126736,11.83466156,11.60805575,11.38144994,11.15484413,10.92823832,10.70163251,10.4750267,10.2484209,10.02181509,9.795209279
Wind,High,43.20538462,43.20576923,43.20615385,43.20653846,43.20692308,43.20730769,43.20769231,43.20807692,43.20846154,43.20884615,43.20923077,43.20961538,43.21,43.101975,42.99395,42.885925,42.7779,42.669875,42.56185,42.453825,42.3458,42.237775,42.12975,42.021725,41.9137,41.805675,41.69765,41.589625,41.4816,41.373575,41.26555,41.157525,41.0495
Natural Gas CC-CCS,High,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609,26.99410609
Net-zero CH4,Mid,76.875,74.03125,71.1875,68.34375,65.5,62.65625,59.8125,56.96875,54.125,51.28125,48.4375,45.59375,42.75,42.43125,42.1125,41.79375,41.475,41.15625,40.8375,40.51875,40.2,39.88125,39.5625,39.24375,38.925,38.60625,38.2875,37.96875,37.65,37.33125,37.0125,36.69375,36.375
Biomethane,Mid,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
GASIFICATION,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTL,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTL,Mid,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
GasFiredWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPumpWH,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasFurnace_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasRange_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecInduction_Res,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
