Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement,MoleFrac_CH4 [%],MoleFrac_H2 [%]
1,3,1,Underground gas storage,1,1300,0,0,1200,0.96,0.995,1.14E-08,40,40,2050,2050,1,0
1,14,1,Underground gas storage,1,1300,0,0,1200,0.96,0.995,1.14E-08,40,40,2050,2050,1,0
