GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15,GEN16,GEN17,GEN18,GEN19,GEN20,GEN21,GEN22,GEN23,GEN24,GEN25,GEN26,GEN27,GEN28,GEN29,GEN30,GEN31,GEN32
1,1,1,1,1,1,1,1,1,1,1,0,0.213961857,0,0.213961857,0,0.213961857,1,1,0,0.213961857,1,0,0.213961857,1,0,0.213961857,0,0.213961857,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0.00352238,0.216480748,0.00352238,0.216480748,0.00352238,0.216480748,1,1,0.00352238,0.216480748,1,0.00352238,0.216480748,1,0.00352238,0.216480748,0.00352238,0.216480748,1,0.00352238,0.00352238
1,1,1,1,1,1,1,1,1,1,1,0.266248,0.1913638,0.266248,0.1913638,0.266248,0.1913638,1,1,0.266248,0.1913638,1,0.266248,0.1913638,1,0.266248,0.1913638,0.266248,0.1913638,1,0.266248,0.266248
1,1,1,1,1,1,1,1,1,1,1,0.398127,0.16027348,0.398127,0.16027348,0.398127,0.16027348,1,1,0.398127,0.16027348,1,0.398127,0.16027348,1,0.398127,0.16027348,0.398127,0.16027348,1,0.398127,0.398127
1,1,1,1,1,1,1,1,1,1,1,0.589312,0.131702051,0.589312,0.131702051,0.589312,0.131702051,1,1,0.589312,0.131702051,1,0.589312,0.131702051,1,0.589312,0.131702051,0.589312,0.131702051,1,0.589312,0.589312
1,1,1,1,1,1,1,1,1,1,1,0.628445,0.128103634,0.628445,0.128103634,0.628445,0.128103634,1,1,0.628445,0.128103634,1,0.628445,0.128103634,1,0.628445,0.128103634,0.628445,0.128103634,1,0.628445,0.628445
1,1,1,1,1,1,1,1,1,1,1,0.593356,0.124217344,0.593356,0.124217344,0.593356,0.124217344,1,1,0.593356,0.124217344,1,0.593356,0.124217344,1,0.593356,0.124217344,0.593356,0.124217344,1,0.593356,0.593356
1,1,1,1,1,1,1,1,1,1,1,0.481764,0.124145376,0.481764,0.124145376,0.481764,0.124145376,1,1,0.481764,0.124145376,1,0.481764,0.124145376,1,0.481764,0.124145376,0.481764,0.124145376,1,0.481764,0.481764
1,1,1,1,1,1,1,1,1,1,1,0.293738,0.132493703,0.293738,0.132493703,0.293738,0.132493703,1,1,0.293738,0.132493703,1,0.293738,0.132493703,1,0.293738,0.132493703,0.293738,0.132493703,1,0.293738,0.293738
1,1,1,1,1,1,1,1,1,1,1,0.0131134,0.134148974,0.0131134,0.134148974,0.0131134,0.134148974,1,1,0.0131134,0.134148974,1,0.0131134,0.134148974,1,0.0131134,0.134148974,0.0131134,0.134148974,1,0.0131134,0.0131134
1,1,1,1,1,1,1,1,1,1,1,0,0.145663908,0,0.145663908,0,0.145663908,1,1,0,0.145663908,1,0,0.145663908,1,0,0.145663908,0,0.145663908,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.169989205,0,0.169989205,0,0.169989205,1,1,0,0.169989205,1,0,0.169989205,1,0,0.169989205,0,0.169989205,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.18618208,0,0.18618208,0,0.18618208,1,1,0,0.18618208,1,0,0.18618208,1,0,0.18618208,0,0.18618208,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.20777258,0,0.20777258,0,0.20777258,1,1,0,0.20777258,1,0,0.20777258,1,0,0.20777258,0,0.20777258,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.19265923,0,0.19265923,0,0.19265923,1,1,0,0.19265923,1,0,0.19265923,1,0,0.19265923,0,0.19265923,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.171644476,0,0.171644476,0,0.171644476,1,1,0,0.171644476,1,0,0.171644476,1,0,0.171644476,0,0.171644476,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.190140338,0,0.190140338,0,0.190140338,1,1,0,0.190140338,1,0,0.190140338,1,0,0.190140338,0,0.190140338,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.227923714,0,0.227923714,0,0.227923714,1,1,0,0.227923714,1,0,0.227923714,1,0,0.227923714,0,0.227923714,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.262180641,0,0.262180641,0,0.262180641,1,1,0,0.262180641,1,0,0.262180641,1,0,0.262180641,0,0.262180641,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.261173084,0,0.261173084,0,0.261173084,1,1,0,0.261173084,1,0,0.261173084,1,0,0.261173084,0,0.261173084,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.264555596,0,0.264555596,0,0.264555596,1,1,0,0.264555596,1,0,0.264555596,1,0,0.264555596,0,0.264555596,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.274127384,0,0.274127384,0,0.274127384,1,1,0,0.274127384,1,0,0.274127384,1,0,0.274127384,0,0.274127384,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.309967614,0,0.309967614,0,0.309967614,1,1,0,0.309967614,1,0,0.309967614,1,0,0.309967614,0,0.309967614,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.326592299,0,0.326592299,0,0.326592299,1,1,0,0.326592299,1,0,0.326592299,1,0,0.326592299,0,0.326592299,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0.328679381,0,0.328679381,0,0.328679381,1,1,0,0.328679381,1,0,0.328679381,1,0,0.328679381,0,0.328679381,1,0,0
1,1,1,1,1,1,1,1,1,1,1,0.00267604,0.317524289,0.00267604,0.317524289,0.00267604,0.317524289,1,1,0.00267604,0.317524289,1,0.00267604,0.317524289,1,0.00267604,0.317524289,0.00267604,0.317524289,1,0.00267604,0.00267604
1,1,1,1,1,1,1,1,1,1,1,0.119228,0.316372796,0.119228,0.316372796,0.119228,0.316372796,1,1,0.119228,0.316372796,1,0.119228,0.316372796,1,0.119228,0.316372796,0.119228,0.316372796,1,0.119228,0.119228
1,1,1,1,1,1,1,1,1,1,1,0.239947,0.316372796,0.239947,0.316372796,0.239947,0.316372796,1,1,0.239947,0.316372796,1,0.239947,0.316372796,1,0.239947,0.316372796,0.239947,0.316372796,1,0.239947,0.239947
