1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
95.3121836,50,50,71.4841377,66.71852852,123.9058387,75,162.0307121,166.7963213,190.6243672,0,0,200,184.9056362,302.139622,104.843402,0,50,181.0931488,50,0,0,0,0
92.68325556,50,50,69.51244167,64.87827889,120.4882322,75,157.5615345,162.1956972,185.3665111,0,0,200,179.8055158,293.8059201,101.9515811,0,50,176.0981856,50,0,0,0,0
91.02577567,50,50,68.26933175,63.71804297,118.3335084,75,154.7438186,159.2951074,182.0515513,0,0,200,176.5900048,288.5517089,100.1283532,0,50,172.9489738,50,0,0,0,0
90.37860562,50,50,67.78395421,63.26502393,117.4921873,75,153.6436296,158.1625598,180.7572112,0,0,200,175.3344949,286.5001798,99.41646618,0,50,171.7193507,50,0,0,0,0
91.20603998,50,50,68.40452998,63.84422798,118.567852,75,155.050268,159.61057,182.41208,0,0,200,176.9397176,289.1231467,100.326644,0,50,173.291476,50,0,0,0,0
93.84479783,50,50,70.38359838,65.69135848,121.9982372,75,159.5361563,164.2283962,187.6895957,0,0,200,182.0589078,297.4880091,103.2292776,0,50,178.3051159,50,0,0,0,0
97.84020844,50,50,73.38015633,68.48814591,127.192271,75,166.3283544,171.2203648,195.6804169,0,0,200,189.8100044,310.1534608,107.6242293,0,50,185.896396,50,0,0,0,0
102.0343526,50,50,76.52576446,71.42404683,132.6446584,75,173.4583994,178.5601171,204.0687052,0,0,200,197.9466441,323.4488978,112.2377879,0,50,193.86527,50,0,0,0,0
105.4786143,50,50,79.10896074,73.83503002,137.1221986,75,179.3136443,184.587575,210.9572286,0,0,200,204.6285118,334.3672074,116.0264757,0,50,200.4093672,50,0,0,0,0
108.0144214,50,50,81.01081603,75.61009496,140.4187478,75,183.6245163,189.0252374,216.0288428,0,0,200,209.5479775,342.4057158,118.8158635,0,50,205.2274006,50,0,0,0,0
108.1771039,50,50,81.1328279,75.72397271,140.630235,75,183.9010766,189.3099318,216.3542077,0,0,200,209.8635815,342.9214193,118.9948143,0,50,205.5364973,50,0,0,0,0
107.0107663,50,50,80.25807475,74.90753643,139.1139962,75,181.9183028,187.2688411,214.0215327,0,0,200,207.6008867,339.2241293,117.711843,0,50,203.320456,50,0,0,0,0
105.7708442,50,50,79.32813312,74.03959091,137.5020974,75,179.8104351,185.0989773,211.5416883,0,0,200,205.1954377,335.293576,116.3479286,0,50,200.9646039,50,0,0,0,0
103.9791717,50,50,77.98437875,72.78542016,135.1729232,75,176.7645918,181.9635504,207.9583433,0,0,200,201.719593,329.6139742,114.3770888,0,50,197.5604262,50,0,0,0,0
102.3459846,50,50,76.75948846,71.64218923,133.04978,75,173.9881738,179.1054731,204.6919692,0,0,200,198.5512101,324.4367712,112.5805831,0,50,194.4573708,50,0,0,0,0
102.7846099,50,50,77.08845741,71.94922691,133.6199928,75,174.7338368,179.8730673,205.5692198,0,0,200,199.4021432,325.8272133,113.0630709,0,50,195.2907588,50,0,0,0,0
108.9726519,50,50,81.72948891,76.28085632,141.6644474,75,185.2535082,190.7021408,217.9453038,0,0,200,211.4069446,345.4433065,119.8699171,0,50,207.0480386,50,0,0,0,0
116.2258787,50,50,87.16940902,81.35811509,151.0936423,75,197.5839938,203.3952877,232.4517574,0,0,200,225.4782047,368.4360355,127.8484666,0,50,220.8291695,50,0,0,0,0
116.2231044,50,50,87.16732833,81.35617311,151.0900358,75,197.5792776,203.3904328,232.4462089,0,0,200,225.4728226,368.4272411,127.8454149,0,50,220.8238984,50,0,0,0,0
114.4878171,50,50,85.86586286,80.141472,148.8341623,75,194.6292891,200.35368,228.9756343,0,0,200,222.1063653,362.9263803,125.9365989,0,50,217.5268526,50,0,0,0,0
111.5872125,50,50,83.69040935,78.11104872,145.0633762,75,189.6982612,195.2776218,223.1744249,0,0,200,216.4791922,353.7314635,122.7459337,0,50,212.0157037,50,0,0,0,0
107.3673921,50,50,80.52554407,75.15717446,139.5776097,75,182.5245666,187.8929362,214.7347842,0,0,200,208.2927407,340.3546329,118.1041313,0,50,203.998045,50,0,0,0,0
101.0323185,50,50,75.77423889,70.72262296,131.3420141,75,171.7549415,176.8065574,202.064637,0,0,200,196.0026979,320.2724497,111.1355504,0,50,191.9614052,50,0,0,0,0
95.32753627,50,50,71.4956522,66.72927539,123.9257972,75,162.0568117,166.8231885,190.6550725,0,0,200,184.9354204,302.18829,104.8602899,0,50,181.1223189,50,0,0,0,0
91.63385647,50,50,68.72539235,64.14369953,119.1240134,75,155.777556,160.3592488,183.2677129,0,0,200,177.7696816,290.479325,100.7972421,0,50,174.1043273,50,0,0,0,0
89.82107918,50,50,67.36580939,62.87475543,116.7674029,75,152.6958346,157.1868886,179.6421584,0,0,200,174.2528936,284.732821,98.8031871,0,50,170.6600504,50,0,0,0,0
89.54357514,50,50,67.15768135,62.6805026,116.4066477,75,152.2240777,156.7012565,179.0871503,0,0,200,173.7145358,283.8531332,98.49793265,0,50,170.1327928,50,0,0,0,0
90.73450159,50,50,68.05087619,63.51415111,117.9548521,75,154.2486527,158.7853778,181.4690032,0,0,200,176.0249331,287.62837,99.80795175,0,50,172.395553,50,0,0,0,0
93.78354038,50,50,70.33765528,65.64847826,121.9186025,75,159.4320186,164.1211957,187.5670808,0,0,200,181.9400683,297.293823,103.1618944,0,50,178.1887267,50,0,0,0,0
99.40288273,50,50,74.55216205,69.58201791,129.2237476,75,168.9849006,173.9550448,198.8057655,0,0,200,192.8415925,315.1071383,109.343171,0,50,188.8654772,50,0,0,0,0
106.2415587,50,50,79.68116899,74.36909106,138.1140263,75,180.6106497,185.9227277,212.4831173,0,0,200,206.1086238,336.7857409,116.8657145,0,50,201.8589614,50,0,0,0,0
111.9049567,50,50,83.92871755,78.33346971,145.4764438,75,190.2384264,195.8336743,223.8099135,0,0,200,217.0956161,354.7387128,123.0954524,0,50,212.6194178,50,0,0,0,0
115.6437744,50,50,86.73283078,80.95064206,150.3369067,75,196.5944164,202.3766052,231.2875487,0,0,200,224.3489223,366.5907648,127.2081518,0,50,219.7231713,50,0,0,0,0
118.6611032,50,50,88.99582743,83.06277227,154.2594342,75,201.7238755,207.6569307,237.3222065,0,0,200,230.2025403,376.1556973,130.5272136,0,50,225.4560962,50,0,0,0,0
120.0110803,50,50,90.00831024,84.00775622,156.0144044,75,204.0188365,210.0193906,240.0221606,0,0,200,232.8214958,380.4351246,132.0121883,0,50,228.0210526,50,0,0,0,0
119.4059154,50,50,89.55443652,83.58414075,155.22769,75,202.9900561,208.9603519,238.8118307,0,0,200,231.6474758,378.5167517,131.3465069,0,50,226.8712392,50,0,0,0,0
116.9228907,50,50,87.69216799,81.84602346,151.9997579,75,198.7689141,204.6150586,233.8457813,0,0,200,226.8304079,370.6455634,128.6151797,0,50,222.1534922,50,0,0,0,0
114.4624801,50,50,85.84686007,80.12373606,148.8012241,75,194.5862162,200.3093402,228.9249602,0,0,200,222.0572114,362.8460619,125.9087281,0,50,217.4787122,50,0,0,0,0
112.9982591,50,50,84.74869436,79.0987814,146.8977369,75,192.0970406,197.7469535,225.9965183,0,0,200,219.2166227,358.2044815,124.2980851,0,50,214.6966924,50,0,0,0,0
114.2769528,50,50,85.70771458,79.99386694,148.5600386,75,194.2708197,199.9846674,228.5539056,0,0,200,221.6972884,362.2579403,125.7046481,0,50,217.1262103,50,0,0,0,0
120.1330114,50,50,90.09975857,84.093108,156.1729149,75,204.2261194,210.23277,240.2660229,0,0,200,233.0580422,380.8216462,132.1463126,0,50,228.2527217,50,0,0,0,0
125.0088254,50,50,93.75661907,87.5061778,162.5114731,75,212.5150032,218.7654445,250.0176509,0,0,200,242.5171213,396.2779766,137.509708,0,50,237.5167683,50,0,0,0,0
